,sample_name,0,1,2,3,4,5,6,7,8,9,cas9_score,nick_to_pegRNA,dPAM,PE3b,RTT_GC,RTT_length,PBS_GC,PBS_length,N_subsitution,N_deletion,N_insertions,Target_pos,Target_end_flank,Target
32,33libworstpeg,0.9708222546997802,0.5605857046010289,0.12575385327100838,0.18696663004755826,0.03314678985592344,0.17681555042172312,0.20458481916484184,0.22079065860690103,0.22245172777347072,0.04776572865556744,59.37,False,0,False,0.7777777777777778,9,0.5384615384615384,13,1,0,0,4,5,23.60300639845716
33,EMX12b10libbestpeg,0.12775496580048964,0.4141134045669184,0.30466058919179106,0.10352718882921534,0.10382442102883788,0.0,0.17932014159954182,0.17691339166059888,0.18045758408432466,0.22933430814809708,48.26,False,0,False,0.5416666666666666,24,0.6153846153846154,13,1,0,0,15,9,8.343287701936582
34,EMX12b10libendopeg,0.3700940535887391,0.3873620373474737,0.33441165488101127,0.20489934178764627,0.15247564469122302,0.34321349715695587,0.4350845557902771,0.5367336677599716,0.5724330835266157,0.6056214698856877,69.54,False,0,False,0.7,10,0.5384615384615384,13,1,0,0,1,9,4.5245675220996775
35,EMX12b10libworstpeg,0.9898041797780573,0.07654897215876484,0.8255470772093747,0.8531928290164665,0.7475052721211807,0.09878081172030993,0.38114143057997235,0.5189461928378385,0.5145180385318077,0.020079944713211485,72.34,False,0,False,0.5714285714285714,7,0.5384615384615384,13,1,0,0,2,5,0.1066163342777803
36,FANCF2b10libbestpeg,0.5685247994103843,0.37228329128221027,0.4187516083111107,0.43325713808366434,0.4425708496376679,0.0,0.0,0.5220605888714149,0.6052611332152834,0.6693569183990884,60.38,False,1,False,0.47368421052631576,19,0.6153846153846154,13,1,0,0,5,14,33.60851425982973
37,FANCF2b10libendopeg,0.8571981060138918,0.3225745260417945,0.27685656856513075,0.26940635271060615,0.041247000224254524,0.08221759780762088,0.08671722720092812,0.3043423857975673,0.3245989175617336,0.2303487425522942,60.38,False,1,False,0.5,10,0.6153846153846154,13,1,0,0,5,5,14.222313944773086
38,FANCF2b10libworstpeg,0.9990388480931254,0.9727123599321561,0.8368299250375075,0.15196842737900557,0.3171073506574984,0.3216332800291406,0.0610763965735273,0.06611768787615911,0.3544812632535245,0.39049618265692465,57.48,False,0,False,0.5,8,0.5384615384615384,13,1,0,0,3,5,0.4376916563282664
39,HEK32b20libbestpeg,0.7713472306084405,0.7067646043145945,0.7162195345817145,0.2128735291276177,0.024532848693256917,0.045538670063776536,0.2302741052934411,0.2367363493376458,0.2433867677092926,0.18307709746545225,41.95,False,0,False,0.6333333333333333,30,0.6153846153846154,13,1,0,0,23,7,9.7382206078181
40,HEK32b20libendopeg,0.9811810036043144,0.013720076894299387,0.029419333327403794,0.025001630063129377,0.26473631962068594,0.27305978545997484,0.29205499407991165,0.3138581792024231,0.31993881876110436,0.09429050896550319,63.26,False,0,False,0.5,20,0.6153846153846154,13,1,0,0,1,19,1.740541111346655
41,HEK32b20libworstpeg,0.8509612115499381,0.3051395844347375,0.1934830512228995,0.15083791558564377,0.11358331250627003,0.10997285601736133,0.21385409907875977,0.24203684795702238,0.03571363514475501,0.2857130814820045,63.26,False,0,False,0.5,6,0.6153846153846154,13,1,0,0,1,5,7.531235170122632
42,RNF22b14libbestpeg,0.6981006610129311,0.31241521077538903,0.3457213109919957,0.37597039120297115,0.40253610349838037,0.42068623214146844,0.06223017588146702,0.06389184002141234,0.07060605907141594,0.06566898568937878,51.1,False,1,False,0.3125,16,0.38461538461538464,13,1,0,0,5,11,63.68330426485181
43,RNF22b14libendopeg,0.17332573429208686,0.4505752173130025,0.5441954838388476,0.23189836002594766,0.0,0.23177845726073518,0.25320334152511864,0.04349860188337501,0.3074867291212642,0.34390237566629345,52.23,False,0,False,0.42857142857142855,14,0.3333333333333333,15,1,0,0,1,13,10.601202481321735
44,RNF22b14libworstpeg,0.9904979885936919,0.6443298831932335,0.5560034321324957,0.06439631578398713,0.06466625116067314,0.08552805001048647,0.155412197374481,0.2995654197625469,0.346765326595949,0.3822102190843741,52.23,False,0,False,0.5,6,0.3076923076923077,13,1,0,0,1,5,1.3707323606782948
